"54 Kent Terrace, Mount Victoria, Wellington"
"9 Aro Street, Aro Valley, Wellington"
"4/1 Brooklyn Road, Mount Cook, Wellington"
"31/40 The Terrace, Wellington Central, Wellington"
"166 Aro Street, Aro Valley, Wellington"
"313B The Terrace, Te Aro, Wellington"
"152A Tinakori Road, Thorndon, Wellington"
"601/46 Nairn Street, Mount Cook, Wellington"
"609/46 Nairn Street, Mount Cook, Wellington"
"4 Staunton Avenue, Mount Cook, Wellington"
"614/46 Nairn Street, Mount Cook, Wellington"
"6/255 Cuba Street, Te Aro, Wellington"
"154 Tinakori Road, Thorndon, Wellington"
"199/38 Hankey Street, Mount Cook, Wellington"
"200/38 Hankey Street, Mount Cook, Wellington"
"207/38 Hankey Street, Mount Cook, Wellington"
"15 Epuni Street, Aro Valley, Wellington"
"209/38 Hankey Street, Mount Cook, Wellington"
"210/38 Hankey Street, Mount Cook, Wellington"
"320 Willis Street, Aro Valley, Wellington"
"21B Tinakori Road, Thorndon, Wellington"
"44 Kent Terrace, Mount Victoria, Wellington"
"16 Frederick Street, Te Aro, Wellington"
"9A/242 Taranaki Street, Mount Cook, Wellington"
"G5/107 Thorndon Quay, Pipitea, Wellington"
"M21/107 Thorndon Quay, Pipitea, Wellington"
"59 Rugby Street, Mount Cook, Wellington"
"66 Tasman Street, Mount Cook, Wellington"
"28 Hugh Street, Mount Cook, Wellington"
"504/107 Thorndon Quay, Pipitea, Wellington"
"145C Ghuznee Street, Te Aro, Wellington"
"2/3 Malcolm Lane, Thorndon, Wellington"
"4/3 Malcolm Lane, Thorndon, Wellington"
"160 Cuba Street, Te Aro, Wellington"
"2B/88A Salamanca Road, Kelburn, Wellington"
"6F/242 Taranaki Street, Mount Cook, Wellington"
"154A Cuba Street, Te Aro, Wellington"
"17 Leeds Street, Te Aro, Wellington"
"98 Elizabeth Street, Mount Victoria, Wellington"
"7D/242 Taranaki Street, Mount Cook, Wellington"
"215 Tinakori Road, Thorndon, Wellington"
"280 The Terrace, Te Aro, Wellington"
"61 Vivian Street, Te Aro, Wellington"
"69 Rugby Street, Mount Cook, Wellington"
"116 Adelaide Road, Mount Cook, Wellington"
"9G/242 Taranaki Street, Mount Cook, Wellington"
"201/38 Hankey Street, Mount Cook, Wellington"
"80 Rolleston Street, Mount Cook, Wellington"
"415/107 Thorndon Quay, Pipitea, Wellington"
"25 Palmer Street, Aro Valley, Wellington"
"2/1 Drummond Street, Mount Cook, Wellington"
