Sensor,Value,Milliseconds,Runtime,Start Time,Timestamp
moturoa/spike,1,12272,00:00:12.272,11:30:00,11:30:12
moturoa/ec,334,12288,00:00:12.288,,11:30:12
moturoa/spike,1,19792,00:00:19.792,,11:30:20
moturoa/ec,334,20401,00:00:20.401,,11:30:20
moturoa/spike,1,29781,00:00:29.781,,11:30:30
moturoa/ec,334,29863,00:00:29.863,,11:30:30
moturoa/spike,1,39781,00:00:39.781,,11:30:40
moturoa/ec,336,39863,00:00:39.863,,11:30:40
moturoa/ec,337,49791,00:00:49.791,,11:30:50
moturoa/ec,338,59792,00:00:59.792,,11:31:00
moturoa/ec,339,69792,00:01:09.792,,11:31:10
moturoa/ec,338,79791,00:01:19.791,,11:31:20
moturoa/ec,337,89793,00:01:29.793,,11:31:30
moturoa/ec,337,99791,00:01:39.791,,11:31:40
moturoa/ec,337,109791,00:01:49.791,,11:31:50
moturoa/ec,337,119795,00:01:59.795,,11:32:00
moturoa/ahumid,13,121316,00:02:01.316,,11:32:01
moturoa/ec,337,129791,00:02:09.791,,11:32:10
moturoa/ec,338,141955,00:02:21.955,,11:32:22
moturoa/ec,338,149791,00:02:29.791,,11:32:30
moturoa/watertemp,22.4,154512,00:02:34.512,,11:32:35
moturoa/ec,336,159791,00:02:39.791,,11:32:40
moturoa/ec,336,169791,00:02:49.791,,11:32:50
moturoa/ec,333,179792,00:02:59.792,,11:33:00
moturoa/atemp,33,181315,00:03:01.315,,11:33:01
moturoa/ec,336,189792,00:03:09.792,,11:33:10
moturoa/ec,336,199793,00:03:19.793,,11:33:20
moturoa/watertemp,15.4,204513,00:03:24.513,,11:33:25
moturoa/ec,335,209792,00:03:29.792,,11:33:30
moturoa/ec,337,219791,00:03:39.791,,11:33:40
moturoa/ec,337,229791,00:03:49.791,,11:33:50
moturoa/ec,336,239792,00:03:59.792,,11:34:00
moturoa/ahumid,20,241316,00:04:01.316,,11:34:01
moturoa/ec,336,249806,00:04:09.806,,11:34:10
moturoa/watertemp,15.4,254513,00:04:14.513,,11:34:15
moturoa/ec,336,259791,00:04:19.791,,11:34:20
moturoa/ec,332,269791,00:04:29.791,,11:34:30
moturoa/ec,330,279791,00:04:39.791,,11:34:40
moturoa/ec,332,289792,00:04:49.792,,11:34:50
moturoa/ec,331,299791,00:04:59.791,,11:35:00
moturoa/atemp,27,301318,00:05:01.318,,11:35:01
moturoa/watertemp,15.4,304513,00:05:04.513,,11:35:05
